"date","native_tweets","native_retweets","retweet_ratio","Nday_authors","Nday_hash","Nday_mention","Nday_links","Nmean_hashtag","Nmean_mentions","Nmean_words","Nmean_links","Nunique_authors","Nuniq_hash","Nuniq_mention","Nuniq_links","retweetCount","repliesCount","N_favor"
2014-11-03,63,113,1.79,176,336,190,174,1.91,0.76,13.74,0.99,94,41,32,68,140,1,112
2014-11-04,297,818,2.75,1115,1922,1333,552,1.72,0.83,12.74,0.5,377,109,79,160,1237,9,521
2014-11-05,157,248,1.58,405,784,497,227,1.94,0.81,11.97,0.56,155,66,47,94,487,1,237
2014-11-06,16,23,1.44,39,91,32,27,2.33,0.77,13.13,0.69,27,16,11,18,44,2,22
2014-11-07,,,,,,,,,,,,,,,,,,
2014-11-08,25,55,2.2,80,127,80,61,1.59,0.74,14.75,0.76,58,13,19,31,63,1,48
2014-11-09,208,817,3.93,1025,1853,1102,460,1.81,0.84,13.25,0.45,425,71,79,126,1079,13,352
2014-11-10,617,2981,4.83,3598,7214,4380,2655,2.01,0.88,14.1,0.74,1317,150,221,387,4433,42,1035
2014-11-11,734,2150,2.93,2884,5801,3161,1698,2.01,0.82,14.37,0.59,1065,222,258,385,3031,39,1184
2014-11-12,261,501,1.92,762,1364,858,509,1.79,0.77,14.88,0.67,339,122,125,196,722,25,404
2014-11-13,57,127,2.23,184,339,209,124,1.84,0.76,14.9,0.67,120,45,41,56,169,2,95
2014-11-14,140,272,1.94,412,829,399,272,2.01,0.74,13.57,0.66,217,90,71,109,327,7,238
2014-11-15,2355,13459,5.72,15814,33208,19996,10361,2.1,0.89,13.56,0.66,3886,470,646,1140,20538,180,3908
2014-11-16,227,713,3.14,940,2178,1239,626,2.32,0.83,14.74,0.67,554,159,182,170,1023,15,367
2014-11-17,231,647,2.8,878,1767,944,657,2.01,0.82,14.54,0.75,396,110,130,178,963,23,373
2014-11-18,23,45,1.96,68,156,70,38,2.29,0.76,14.31,0.56,60,32,36,19,36,0,33
2014-11-19,7,10,1.43,17,41,15,6,2.41,0.76,13.71,0.35,16,14,9,5,3,2,8
2014-11-20,1,4,4,5,8,4,6,1.6,0.8,12.2,1.2,5,4,3,5,3,0,2
2014-11-21,0,4,0,4,7,6,3,1.75,1,15,0.75,4,4,5,3,1,0,4
2014-11-22,1,5,5,6,13,10,6,2.17,0.83,15.83,1,5,7,8,5,0,0,1
2014-11-23,0,1,0,1,3,2,1,3,1,16,1,1,3,2,1,,0,
2014-11-24,0,2,0,2,4,6,2,2,1,15,1,1,2,4,2,0,0,1
2014-11-25,8,1,0.12,9,11,3,1,1.22,0.11,11.22,0.11,7,3,3,1,0,1,9
2014-11-26,4,2,0.5,6,11,5,5,1.83,0.5,14.67,0.83,6,3,4,3,5,1,5
2014-11-27,142,304,2.14,446,894,541,298,2,0.79,13.55,0.67,253,52,69,103,478,7,237
2014-11-28,126,229,1.82,355,642,375,219,1.81,0.76,14.58,0.62,156,57,60,91,343,6,210
2014-11-29,32,117,3.66,149,217,123,138,1.46,0.8,14.72,0.93,99,16,18,42,166,0,55
2014-11-30,70,117,1.67,187,303,193,152,1.62,0.72,13.28,0.81,86,36,30,58,182,8,110
2014-12-01,86,178,2.07,264,526,287,171,1.99,0.79,14.21,0.65,126,49,45,53,250,9,137
2014-12-02,2,6,3,8,17,10,6,2.12,0.75,14.25,0.75,8,6,8,5,0,0,2
